"","p1","p2","p3","p4","p5","p6"
"p2",1,1,0.0833333333333333,0.833333333333333,0.666666666666667,0.0833333333333333
"p3",0.0833333333333333,0.0833333333333333,1,0.1,0.125,0
"p4",0.833333333333333,0.833333333333333,0.1,1,0.5,0.1
"p5",0.666666666666667,0.666666666666667,0.125,0.5,1,0
"p6",0.0833333333333333,0.0833333333333333,0,0.1,0,1
"p7",0.75,0.75,0,0.727272727272727,0.416666666666667,0.111111111111111
